Date,Hour,TripCount,TotalRevenue,TotalPassengers,TotalDistance
2001-01-01,0,5,294.65,6.0,55.629999999999995
2001-01-01,15,1,43.0,2.0,9.13
2002-12-31,22,2,73.58,2.0,15.02
2002-12-31,23,9,519.37,9.0,111.13
2003-01-01,0,6,454.08,8.0,79.29
2008-12-31,10,1,21.0,1.0,3.01
2008-12-31,13,1,96.66,1.0,19.37
2008-12-31,14,1,62.93,1.0,8.41
2008-12-31,15,1,98.69,1.0,11.77
2008-12-31,17,1,64.98,1.0,8.52
2008-12-31,20,1,40.68,1.0,6.46
2008-12-31,23,17,716.94,17.0,123.00000000000003
2009-01-01,0,9,151.13,15.0,14.61
2009-01-01,4,1,82.69,1.0,21.4
2009-01-01,5,1,18.2,1.0,1.91
2009-01-01,7,1,29.4,1.0,3.07
2009-01-01,15,1,16.1,1.0,1.13
2009-01-01,20,1,0.0,1.0,0.0
2009-01-01,23,1,4.5,1.0,0.0
2014-11-19,8,1,52.38,2.0,6.43
2022-10-24,17,1,120.3,1.0,0.0
2022-10-24,20,1,54.36,1.0,0.0
2022-10-24,21,1,90.36,1.0,0.0
2022-10-24,23,1,72.25,1.0,0.0
2022-10-25,0,2,17.35,2.0,3.3
2022-10-25,3,1,120.3,1.0,0.02
2022-10-25,7,1,94.56,2.0,0.76
2022-10-25,9,1,21.55,1.0,6.48
2022-10-25,11,1,90.96,1.0,0.0
2022-10-25,13,1,78.5,2.0,0.22
2022-12-31,14,2,27.96,2.0,0.95
2022-12-31,15,1,13.2,1.0,1.54
2022-12-31,22,3,89.28,3.0,10.86
2022-12-31,23,19,527.79,23.0,69.45
2023-01-01,0,5336,144383.0,7885.0,17856.420000000002
2023-01-01,1,5752,155404.84,8271.0,18699.870000000028
2023-01-01,2,5097,135582.84,7140.0,17125.04999999994
2023-01-01,3,3952,106019.97,5174.0,13840.05
2023-01-01,4,2501,69674.0,3359.0,9598.789999999992
2023-01-01,5,1097,35591.78,1479.0,5408.85000000001
2023-01-01,6,908,33467.05,1206.0,5621.870000000001
2023-01-01,7,1021,36698.04,1395.0,6389.430000000008
2023-01-01,8,1147,40769.23,1590.0,6723.810000000001
2023-01-01,9,1650,48908.67,2355.0,7450.5899999999965
2023-01-01,10,2698,83996.26,4112.0,12757.0
2023-01-01,11,3354,95781.52,5024.0,13582.280000000006
2023-01-01,12,3828,113120.95,5870.0,15828.56000000003
2023-01-01,13,3998,119843.87,6277.0,16817.610000000022
2023-01-01,14,4252,138567.5,6638.0,19843.219999999987
2023-01-01,15,4326,140187.99,6823.0,19981.94000000002
2023-01-01,16,4253,140709.53,6640.0,22408.42999999996
2023-01-01,17,4099,131435.95,6339.0,18218.529999999948
2023-01-01,18,3720,116112.97,5551.0,15794.679999999998
2023-01-01,19,3442,109173.77,5336.0,77991.86000000009
2023-01-01,20,2901,91411.45,4414.0,12785.84
2023-01-01,21,2778,89393.42,4269.0,12733.009999999991
2023-01-01,22,2607,96045.05,3868.0,15312.240000000005
2023-01-01,23,2035,75194.79,2959.0,12404.190000000019
2023-01-02,0,1280,44346.92,1829.0,7191.459999999997
2023-01-02,1,755,24028.02,1088.0,3911.310000000001
2023-01-02,2,433,12221.17,623.0,1826.3399999999995
2023-01-02,3,379,13866.87,537.0,2186.0400000000004
2023-01-02,4,371,13651.12,482.0,2135.090000000001
2023-01-02,5,394,18105.67,562.0,3025.700000000001
2023-01-02,6,799,37482.98,1106.0,6399.580000000005
2023-01-02,7,1176,42574.12,1612.0,8393.559999999987
2023-01-02,8,1540,50086.54,2131.0,7837.410000000001
2023-01-02,9,2325,72428.1,3363.0,10956.350000000015
2023-01-02,10,3134,89049.67,4585.0,13014.869999999988
2023-01-02,11,3671,101689.84,5439.0,14543.019999999991
2023-01-02,12,4292,113339.93,6498.0,15452.290000000015
2023-01-02,13,4816,136274.04,7242.0,18946.44999999997
2023-01-02,14,5195,158837.89,7810.0,22928.22000000001
2023-01-02,15,5286,161613.26,7786.0,22670.580000000024
2023-01-02,16,5137,158302.39,7669.0,22007.329999999973
2023-01-02,17,5075,153667.24,7425.0,20868.029999999973
2023-01-02,18,4348,126056.69,6278.0,17260.689999999988
2023-01-02,19,3915,120959.8,5860.0,17399.94999999999
2023-01-02,20,3607,116095.63,5451.0,17342.66999999997
2023-01-02,21,3268,103735.16,4955.0,15456.730000000012
2023-01-02,22,2763,94625.8,3969.0,15379.14999999999
2023-01-02,23,1818,70405.89,2551.0,11741.74999999999
2023-01-03,0,1322,54514.91,1827.0,9556.47
2023-01-03,1,751,33592.54,1037.0,6066.5800000000045
2023-01-03,2,392,15069.99,528.0,2543.69
2023-01-03,3,288,12859.17,373.0,2185.5299999999993
2023-01-03,4,255,11376.85,366.0,1846.0400000000006
2023-01-03,5,656,23926.28,830.0,3923.389999999999
2023-01-03,6,1868,58387.59,2248.0,11126.330000000009
2023-01-03,7,3342,84783.94,4031.0,13827.26
2023-01-03,8,4431,116855.33,5433.0,17088.340000000022
2023-01-03,9,4545,119511.62,5746.0,15603.640000000018
2023-01-03,10,5332,135602.67,7021.0,16765.479999999956
